loan_id,applicant_name,age,gender,marital_status,dependents,education_level,employment_type,employment_years,annual_income,loan_amount,loan_purpose,loan_term_months,interest_rate,credit_score,property_ownership,loan_status,application_date,debt_to_income_ratio,income_category,loan_status_approved
1,Applicant_1,59,Female,Married,2,High School,Business Owner,9,206191.61,140863.76,Education,60,11.58,737,Rented,Approved,2026-04-25 21:51:24.033532,68.32,High,True
2,Applicant_2,49,Male,Married,1,High School,Salaried,2,571076.34,700782.13,Business,60,3.1,751,Owned,Rejected,2026-01-07 21:51:24.033552,122.71,High,False
3,Applicant_3,35,Female,Married,2,High School,Self-Employed,12,150000.0,549777.88,Business,84,14.37,689,Rented,Rejected,2025-12-20 21:51:24.033558,366.52,Upper-Middle,False
4,Applicant_4,63,Female,Married,1,Graduate,Business Owner,0,1064790.28,433932.46,Personal,60,6.9,627,Owned,Approved,2026-04-24 21:51:24.033562,40.75,High,True
5,Applicant_5,28,Male,Married,1,Under-Graduate,Self-Employed,12,1340188.22,421621.13,Home,12,9.58,675,Owned,Pending,2026-01-05 21:51:24.033566,31.46,High,False
6,Applicant_6,41,Male,Divorced,4,Graduate,Student,19,776636.01,362511.68,Auto,48,10.96,683,Owned,Approved,2026-04-12 21:51:24.033570,46.68,High,True
7,Applicant_7,59,Female,Single,1,Graduate,Student,3,447791.99,387448.13,Auto,48,6.11,699,Rented,Approved,2026-07-10 21:51:24.033574,86.52,High,True
8,Applicant_8,39,Female,Divorced,2,Graduate,Salaried,7,459501.42,760327.26,Home,36,6.89,602,Rented,Rejected,2026-02-23 21:51:24.033578,165.47,High,False
9,Applicant_9,43,Male,Married,3,Graduate,Business Owner,4,731177.12,379027.73,Auto,48,8.96,658,Owned,Rejected,2026-02-04 21:51:24.033582,51.84,High,False
10,Applicant_10,31,Female,Married,3,Post-Graduate,Self-Employed,4,729651.18,1006125.29,Auto,48,5.51,672,Mortgage,Rejected,2026-06-11 21:51:24.033586,137.89,High,False
11,Applicant_11,31,Female,Married,0,Under-Graduate,Retired,2,1214732.71,583869.1,Education,48,4.76,500,Rented,Approved,2026-02-15 21:51:24.033590,48.07,High,True
12,Applicant_12,44,Male,Married,0,Graduate,Self-Employed,11,582449.59,338646.66,Business,120,5.08,746,Rented,Approved,2026-05-17 21:51:24.033593,58.14,High,True
13,Applicant_13,56,Male,Single,0,Under-Graduate,Retired,22,1024031.34,772542.47,Auto,24,12.73,693,Mortgage,Rejected,2026-05-15 21:51:24.033597,75.44,High,False
14,Applicant_14,60,Male,Married,2,Post-Graduate,Business Owner,22,727811.99,674690.86,Business,84,9.89,701,Rented,Approved,2025-11-14 21:51:24.033601,92.7,High,True
15,Applicant_15,44,Female,Married,1,Graduate,Salaried,1,552097.22,50000.0,Auto,48,5.72,638,Mortgage,Approved,2025-10-08 21:51:24.033605,9.06,High,True
16,Applicant_16,23,Male,Married,0,Post-Graduate,Self-Employed,16,717849.57,210348.02,Auto,60,11.55,726,Owned,Approved,2026-01-29 21:51:24.033609,29.3,High,True
17,Applicant_17,42,Female,Married,4,Graduate,Retired,10,984615.35,467682.32,Education,60,5.92,613,Owned,Rejected,2025-12-21 21:51:24.033613,47.5,High,False
18,Applicant_18,22,Female,Single,2,Post-Graduate,Student,2,1215973.36,56589.78,Home,48,3.0,626,Owned,Approved,2025-11-08 21:51:24.033617,4.65,High,True
19,Applicant_19,44,Female,Married,1,Post-Graduate,Salaried,0,749210.73,1085348.37,Home,48,10.94,730,Rented,Approved,2026-02-08 21:51:24.033620,144.87,High,True
20,Applicant_20,64,Male,Married,2,Graduate,Business Owner,2,368424.75,730225.01,Auto,48,14.26,708,Owned,Approved,2026-08-04 21:51:24.033624,198.2,High,True
21,Applicant_21,50,Female,Married,2,Graduate,Salaried,19,1249885.92,496266.8,Debt Consolidation,48,10.45,577,Mortgage,Approved,2025-11-01 21:51:24.033628,39.7,High,True
22,Applicant_22,58,Male,Married,0,Post-Graduate,Salaried,8,490732.25,404042.16,Business,84,3.0,806,Mortgage,Rejected,2026-06-06 21:51:24.033633,82.33,High,False
23,Applicant_23,22,Female,Single,1,High School,Self-Employed,10,954329.27,332094.18,Home,60,8.42,619,Owned,Approved,2025-11-04 21:51:24.033637,34.8,High,True
24,Applicant_24,41,Male,Single,3,Graduate,Salaried,2,840066.93,50000.0,Personal,24,7.54,669,Mortgage,Approved,2026-03-02 21:51:24.033640,5.95,High,True
25,Applicant_25,53,Male,Divorced,2,Under-Graduate,Business Owner,10,786571.96,50000.0,Business,24,9.82,819,Rented,Approved,2025-11-03 21:51:24.033644,6.36,High,True
26,Applicant_26,32,Female,Single,2,Under-Graduate,Salaried,0,655209.48,1032313.8,Business,48,5.53,515,Owned,Approved,2025-08-29 21:51:24.033648,157.55,High,True
27,Applicant_27,42,Male,Married,1,High School,Business Owner,3,1098059.51,940607.9,Personal,24,7.33,543,Owned,Approved,2026-02-03 21:51:24.033651,85.66,High,True
28,Applicant_28,64,Male,Single,0,Under-Graduate,Salaried,7,150000.0,338782.23,Auto,60,3.53,715,Mortgage,Approved,2026-07-19 21:51:24.033655,225.85,Upper-Middle,True
29,Applicant_29,45,Female,Married,0,Post-Graduate,Salaried,1,1304588.2,754239.76,Home,24,9.28,481,Owned,Approved,2025-10-28 21:51:24.033659,57.81,High,True
30,Applicant_30,47,Female,Married,1,Under-Graduate,Salaried,13,484996.89,641797.82,Education,48,3.66,516,Owned,Approved,2026-05-07 21:51:24.033662,132.33,High,True
31,Applicant_31,62,Female,Single,1,High School,Salaried,2,1013182.76,674800.63,Education,12,10.03,774,Mortgage,Rejected,2025-09-22 21:51:24.033666,66.6,High,False
32,Applicant_32,48,Female,Married,0,Graduate,Salaried,8,992010.25,100950.23,Education,36,5.87,647,Owned,Rejected,2026-08-24 21:51:24.033669,10.18,High,False
33,Applicant_33,36,Male,Divorced,3,Graduate,Salaried,4,1359990.95,50000.0,Education,60,3.0,850,Rented,Approved,2026-05-12 21:51:24.033673,3.68,High,True
34,Applicant_34,35,Male,Married,4,Graduate,Self-Employed,7,929099.65,831126.42,Debt Consolidation,48,11.28,597,Owned,Approved,2025-10-16 21:51:24.033678,89.46,High,True
35,Applicant_35,64,Male,Single,3,Under-Graduate,Salaried,0,518356.33,50000.0,Debt Consolidation,120,10.23,654,Owned,Pending,2026-05-06 21:51:24.033684,9.65,High,False
36,Applicant_36,23,Male,Single,3,Under-Graduate,Self-Employed,0,208098.0,458505.81,Personal,84,13.24,723,Owned,Approved,2026-03-14 21:51:24.033690,220.33,High,True
37,Applicant_37,57,Female,Single,1,Graduate,Salaried,19,710478.74,397043.35,Personal,48,3.0,717,Mortgage,Approved,2025-12-10 21:51:24.033696,55.88,High,True
38,Applicant_38,27,Female,Single,4,Post-Graduate,Student,2,150000.0,371157.73,Debt Consolidation,12,6.21,659,Owned,Rejected,2026-05-14 21:51:24.033701,247.44,Upper-Middle,False
39,Applicant_39,41,Male,Single,0,Post-Graduate,Retired,13,598605.72,588046.23,Home,60,8.96,628,Owned,Approved,2026-01-16 21:51:24.033708,98.24,High,True
40,Applicant_40,29,Male,Married,4,Graduate,Self-Employed,35,732947.75,310274.12,Auto,84,10.5,698,Owned,Approved,2025-12-09 21:51:24.033714,42.33,High,True
